time,omega_R,omega_L,u,omega,x,y,psi
6.8103,0.5039,0.4346,0.046925,0.017325000000000007,0.9140300916380644,0.9065631352105101,0.8681252474999998
6.9123,0.4862,0.4178,0.045200000000000004,0.017100000000000004,0.9169884557257186,0.9103298919638196,0.8698923974999998
7.0108,0.4692,0.4017,0.043545,0.016875,0.919730990571232,0.913841153533451,0.8715767474999998
7.1107,0.4527,0.3862,0.041945,0.016625,0.9224018110263689,0.917279016765961,0.8732625599999998
7.2097,0.4369,0.3713,0.04041,0.016399999999999998,0.9249429748233317,0.9205673732901516,0.8749084349999998
7.3104,0.4216,0.3569,0.038925,0.016174999999999995,0.9274249124035787,0.9237963601897891,0.8765599149999999
7.4099,0.4068,0.3431,0.037495,0.015924999999999995,0.9297791868704748,0.9268759240057992,0.8781693274999999
7.5099,0.3926,0.3298,0.03612,0.015700000000000006,0.9320509173039792,0.9298631219654245,0.8797618274999999
7.6102,0.3788,0.3169,0.034785,0.015475000000000003,0.9342385312587874,0.9327551944028758,0.8813365374999999
7.7094,0.3656,0.3046,0.03351,0.01525,0.9363151260098067,0.93551534972926,0.8828716574999999
7.8098,0.3528,0.2928,0.032279999999999996,0.015,0.9383330171255473,0.9382117867102279,0.8844027574999999
7.9107,0.3405,0.2814,0.031095,0.01477500000000001,0.940280104285324,0.9408271540162552,0.8859162574999999
8.0103,0.3287,0.2704,0.029955,0.014575000000000005,0.9421252702712652,0.9433189026567587,0.8873878474999999
8.1108,0.3172,0.2598,0.02885,0.014350000000000002,0.9439126220197691,0.9457457946051832,0.8888526349999999
8.2098,0.3062,0.2497,0.027795000000000004,0.014125000000000006,0.9456025704651566,0.9480527080276283,0.8902732849999999
8.3102,0.2955,0.2399,0.026770000000000002,0.013899999999999997,0.9472482014897835,0.9503109283107128,0.8916914349999999
8.4105,0.2852,0.2305,0.025785000000000002,0.013675,0.9488261754812523,0.9524878129317018,0.8930856049999999
8.5101,0.2753,0.2215,0.02484,0.013449999999999998,0.9503303535965024,0.9545738567436596,0.8944476349999999
8.6102,0.2658,0.2128,0.02393,0.013249999999999998,0.9517817709381278,0.9565972491503063,0.8957939799999999
8.7104,0.2566,0.2044,0.02305,0.013049999999999999,0.9531764950050701,0.9585521785669637,0.8971216299999999
8.81,0.2477,0.1964,0.022205000000000003,0.012825000000000003,0.9545071628411779,0.9604274980594323,0.8984214099999999
8.9108,0.2391,0.1887,0.021390000000000003,0.0126,0.9558001176612393,0.9622591109691793,0.8997141699999999
9.0107,0.2308,0.1812,0.020600000000000004,0.012400000000000001,0.9570303120222321,0.9640108646708675,0.9009729099999999
9.1103,0.2228,0.1741,0.019845,0.012174999999999998,0.9582073235751283,0.9656959807321419,0.9022079499999999
9.2103,0.2152,0.1672,0.019119999999999998,0.012000000000000005,0.9593419363491952,0.9673286831439194,0.9034254499999999
9.3098,0.2077,0.1606,0.018414999999999997,0.011775,0.960425617451013,0.9688968571084918,0.9046194499999999
9.4124,0.2006,0.1542,0.017740000000000002,0.0116,0.9614982441742622,0.970456927727645,0.9058275649999998
9.5125,0.1937,0.1481,0.01709,0.0114,0.9625025822186383,0.9719259959075301,0.9069887249999998
9.6106,0.187,0.1423,0.016465000000000004,0.011174999999999997,0.9634474396222801,0.9733154205431906,0.9081070649999998
9.7103,0.1805,0.1366,0.015855,0.010974999999999999,0.9643695591085562,0.9746780759562381,0.9092212124999999
9.8102,0.1743,0.1312,0.015275,0.010775,0.9652561445287793,0.975995183552594,0.9103176149999999
9.9113,0.1684,0.126,0.01472,0.010599999999999998,0.9661175403115188,0.9772815483553142,0.9114069674999998
10.0102,0.1626,0.121,0.014179999999999998,0.010399999999999998,0.9669265609999644,0.9784963951053559,0.9124553074999998
10.1149,0.157,0.1162,0.01366,0.0102,0.9677487441689218,0.9797373806727753,0.9135441874999998
10.2141,0.1516,0.1115,0.013155,0.010025000000000003,0.9684965121972755,0.9808719736847457,0.9145560274999998
10.3108,0.1464,0.1071,0.012675,0.009825,0.9691958611651097,0.9819389872160162,0.9155254449999998
10.411,0.1414,0.1028,0.01221,0.009649999999999999,0.9698917309827775,0.9830059669775142,0.9165099099999998
10.5107,0.1366,0.0987,0.011765000000000001,0.009475,0.9705562526423118,0.9840304555308368,0.9174720149999999
10.6116,0.1319,0.0948,0.011335,0.009274999999999999,0.9712018849931943,0.9850311941880964,0.9184280424999999
10.7101,0.1274,0.091,0.010920000000000001,0.009100000000000004,0.9718070791203657,0.9859738782057529,0.9193416299999999
10.8108,0.123,0.0873,0.010515,0.008924999999999999,0.9724009714899761,0.9869038814959749,0.9202579999999999
10.912,0.1188,0.0838,0.01013,0.00875,0.9729735435267083,0.9878053615366398,0.92116121
11.0103,0.1148,0.0805,0.009765000000000001,0.008575,0.9735073940023662,0.9886503335105165,0.9220213349999999
11.1115,0.1109,0.0772,0.009405,0.008424999999999998,0.974035338295669,0.9894902026869564,0.922889125
11.2101,0.1071,0.0741,0.00906,0.00825,0.974528765270756,0.9902797449727878,0.92371983
11.3122,0.1035,0.0712,0.008735,0.008074999999999999,0.9750192183077664,0.9910685567584627,0.924562155
11.4107,0.0999,0.0683,0.00841,0.0079,0.975473835761965,0.9918033582562128,0.9253575425
11.5104,0.0965,0.0655,0.008100000000000001,0.007750000000000001,0.9759153020622979,0.9925205435846799,0.9261451725000001
11.611,0.0933,0.0629,0.007810000000000001,0.007599999999999999,0.9763426492788868,0.9932187195777495,0.9269248225000001
11.7124,0.0901,0.0604,0.0075250000000000004,0.007424999999999999,0.9767564102400441,0.9938983519691746,0.9276954625000001
11.8107,0.087,0.0579,0.007245000000000001,0.0072749999999999985,0.9771415901303254,0.9945340648362218,0.9284253400000001
11.9139,0.0841,0.0556,0.006985,0.007125,0.9775294109946695,0.9951776975320347,0.92917612
12.0107,0.0812,0.0533,0.006725000000000001,0.0069749999999999986,0.9778788279253087,0.9957606561818433,0.9298658200000001
12.1104,0.0785,0.0512,0.006485000000000001,0.0068249999999999995,0.9782239975897145,0.9963396558377074,0.9305612275
12.2114,0.0758,0.0491,0.0062450000000000006,0.006675000000000002,0.9785599943608282,0.996906103725498,0.9312505525
12.3104,0.0732,0.0471,0.006015,0.0065249999999999996,0.9788759657268586,0.9974416111835974,0.9319113775
12.4108,0.0708,0.0452,0.0058,0.006400000000000001,0.9791834856065708,0.9979654677207704,0.9325664874999999
12.5108,0.0684,0.0434,0.005590000000000001,0.006250000000000001,0.9794776332095644,0.9984694252464144,0.9332064874999999
12.6106,0.066,0.0416,0.00538,0.006100000000000001,0.979759597987882,0.9989548310872705,0.9338302374999999
12.7108,0.0638,0.0399,0.0051849999999999995,0.005974999999999999,0.9800310821893653,0.9994245492591618,0.9344414575
12.8101,0.0617,0.0383,0.005000000000000001,0.005849999999999998,0.9802893345308152,0.9998739017004191,0.935034775
12.9107,0.0596,0.0367,0.004815,0.005724999999999999,0.9805406584496019,1.000313570584975,0.935623285
13.0102,0.0576,0.0352,0.00464,0.005599999999999999,0.9807790580313756,1.0007330227655398,0.9361929225
13.1097,0.0556,0.0338,0.00447,0.00545,0.9810078970961751,1.0011378509058928,0.9367501225
13.2102,0.0537,0.0324,0.004305,0.005325,0.9812299013617564,1.0015322190309295,0.9372978475
13.3104,0.0519,0.0311,0.00415,0.005200000000000001,0.9814422499939014,1.0019114647123015,0.9378314125
13.4104,0.0502,0.0298,0.004,0.0051,0.9816458118070861,1.0022768297191276,0.9383514125
13.5116,0.0485,0.0286,0.0038550000000000004,0.004974999999999999,0.9818434671485705,1.0026338440108957,0.9388675325
13.6104,0.0468,0.0274,0.00371,0.00485,0.9820287892028549,1.0029702020901519,0.9393590625
13.7105,0.0453,0.0263,0.00358,0.00475,0.9822088241717835,1.0032986237496935,0.9398445475
13.8101,0.0437,0.0252,0.003445,0.004625000000000001,0.9823809672325047,1.0036144492416499,0.9403176475
13.9111,0.0423,0.0242,0.0033250000000000003,0.0045249999999999995,0.9825483599548839,1.0039230387054618,0.9407847725
14.0117,0.0408,0.0232,0.0032,0.004400000000000001,0.9827086467392415,1.0042201367679724,0.9412399875
14.1119,0.0395,0.0222,0.0030850000000000005,0.004325,0.9828617993125714,1.0045052648981638,0.9416808675
14.2111,0.0381,0.0213,0.0029700000000000004,0.004200000000000001,0.9830071877024997,1.0047779525478917,0.9421099075
14.3116,0.0368,0.0204,0.00286,0.0040999999999999995,0.9831485821316289,1.0050441904015794,0.9425320075
14.4107,0.0356,0.0196,0.0027600000000000003,0.004,0.9832822908596698,1.0052973764037254,0.9429383175
14.5104,0.0344,0.0188,0.00266,0.0039,0.9834116559758888,1.0055434957054667,0.9433371175
14.6125,0.0332,0.018,0.0025599999999999998,0.0038000000000000004,0.9835388670061455,1.0057867278208175,0.9437353075
14.7112,0.0321,0.0173,0.00247,0.0036999999999999993,0.9836567560188434,1.0060133376624067,0.9441103675
14.8106,0.031,0.0165,0.0023750000000000004,0.0036249999999999998,0.9837709541318916,1.006233770193092,0.9444781475
14.9102,0.03,0.0159,0.0022949999999999997,0.0035249999999999995,0.98388035969066,1.0064465844248425,0.9448391975
