t,omega_R,omega_L,u,omega
13.8101,0.0437,0.0252,0.003445,0.004625000000000001
13.9111,0.0423,0.0242,0.0033250000000000003,0.0045249999999999995
14.0117,0.0408,0.0232,0.0032,0.004400000000000001
14.1119,0.0395,0.0222,0.0030850000000000005,0.004325
14.2111,0.0381,0.0213,0.0029700000000000004,0.004200000000000001
14.3116,0.0368,0.0204,0.00286,0.0040999999999999995
14.4107,0.0356,0.0196,0.0027600000000000003,0.004
14.5104,0.0344,0.0188,0.00266,0.0039
14.6125,0.0332,0.018,0.0025599999999999998,0.0038000000000000004
14.7112,0.0321,0.0173,0.00247,0.0036999999999999993
14.8106,0.031,0.0165,0.0023750000000000004,0.0036249999999999998
14.9102,0.03,0.0159,0.0022949999999999997,0.0035249999999999995
15.0109,-6.738,1.3327,-0.27026500000000003,-2.017675
15.1107,-7.2611,2.7852,-0.22379499999999997,-2.511575
15.2104,-7.5007,4.4215,-0.15396,-2.98055
15.3109,-7.1781,5.988,-0.05950499999999997,-3.291525
15.4109,-6.0948,7.0926,0.04988999999999999,-3.29685
15.5108,-4.3621,7.43,0.153395,-2.948025
15.6116,-2.418,7.0497,0.23158499999999999,-2.366925
15.7155,-0.7074,6.2985,0.279555,-1.7514750000000001
15.8112,0.5799,5.5112,0.304555,-1.2328249999999998
15.9109,1.4692,4.8515,0.316035,-0.8455750000000001
16.0105,2.0592,4.3523,0.32057500000000005,-0.5732749999999999
16.1109,2.4436,3.9916,0.32176000000000005,-0.387
16.2109,2.6913,3.7358,0.321355,-0.26112499999999994
16.3107,2.8489,3.5544,0.32016500000000003,-0.17637499999999995
16.4107,2.9469,3.4245,0.31857,-0.11940000000000006
16.5105,3.0052,3.3294,0.31673,-0.08105000000000005
16.6106,3.0369,3.2577,0.31473,-0.055199999999999916
16.7113,3.0504,3.2014,0.31259,-0.03775000000000006
16.8115,3.0514,3.1551,0.310325,-0.025924999999999976
16.9109,3.0436,3.1152,0.30794000000000005,-0.017900000000000027
