t,omega_R,omega_L,u,omega,x,y,psi
7.2097,0.4369,0.3713,0.04041,0.0163999999999999,0.9249429748233318,0.9205673732901511,0.8749084349999994
7.3104,0.4216,0.3569,0.038925,0.0161749999999999,0.9274249124035788,0.9237963601897886,0.8765599149999994
7.4099,0.4068,0.3431,0.037495,0.0159249999999999,0.9297791868704749,0.9268759240057988,0.8781693274999994
7.5099,0.3926,0.3298,0.03612,0.0157,0.9320509173039793,0.9298631219654241,0.8797618274999994
7.6102,0.3788,0.3169,0.034785,0.015475,0.9342385312587875,0.9327551944028754,0.8813365374999994
7.7094,0.3656,0.3046,0.03351,0.01525,0.9363151260098068,0.9355153497292595,0.8828716574999994
7.8098,0.3528,0.2928,0.0322799999999999,0.015,0.9383330171255474,0.9382117867102274,0.8844027574999994
7.9107,0.3405,0.2814,0.031095,0.014775,0.9402801042853242,0.9408271540162547,0.8859162574999995
8.0103,0.3287,0.2704,0.029955,0.014575,0.9421252702712654,0.9433189026567582,0.8873878474999994
8.1108,0.3172,0.2598,0.02885,0.01435,0.9439126220197692,0.9457457946051827,0.8888526349999994
8.2098,0.3062,0.2497,0.027795,0.014125,0.9456025704651567,0.9480527080276279,0.8902732849999995
8.3102,0.2955,0.2399,0.02677,0.0138999999999999,0.9472482014897836,0.9503109283107124,0.8916914349999995
8.4105,0.2852,0.2305,0.025785,0.013675,0.9488261754812524,0.9524878129317014,0.8930856049999994
8.5101,0.2753,0.2215,0.02484,0.0134499999999999,0.9503303535965025,0.9545738567436591,0.8944476349999995
8.6102,0.2658,0.2128,0.02393,0.0132499999999999,0.9517817709381279,0.9565972491503059,0.8957939799999994
8.7104,0.2566,0.2044,0.02305,0.0130499999999999,0.9531764950050703,0.9585521785669633,0.8971216299999994
8.81,0.2477,0.1964,0.022205,0.012825,0.9545071628411781,0.9604274980594318,0.8984214099999994
8.9108,0.2391,0.1887,0.02139,0.0126,0.9558001176612395,0.9622591109691788,0.8997141699999994
9.0107,0.2308,0.1812,0.0206,0.0124,0.9570303120222323,0.964010864670867,0.9009729099999995
9.1103,0.2228,0.1741,0.019845,0.0121749999999999,0.9582073235751286,0.9656959807321415,0.9022079499999994
9.2103,0.2152,0.1672,0.0191199999999999,0.012,0.9593419363491955,0.967328683143919,0.9034254499999994
9.3098,0.2077,0.1606,0.0184149999999999,0.011775,0.9604256174510133,0.9688968571084914,0.9046194499999994
9.4124,0.2006,0.1542,0.01774,0.0116,0.9614982441742626,0.9704569277276446,0.9058275649999994
9.5125,0.1937,0.1481,0.01709,0.0114,0.9625025822186386,0.9719259959075297,0.9069887249999994
9.6106,0.187,0.1423,0.016465,0.0111749999999999,0.9634474396222804,0.9733154205431902,0.9081070649999994
9.7103,0.1805,0.1366,0.015855,0.0109749999999999,0.9643695591085565,0.9746780759562377,0.9092212124999993
9.8102,0.1743,0.1312,0.015275,0.010775,0.9652561445287796,0.9759951835525935,0.9103176149999993
9.9113,0.1684,0.126,0.01472,0.0105999999999999,0.9661175403115191,0.9772815483553138,0.9114069674999993
10.0102,0.1626,0.121,0.0141799999999999,0.0103999999999999,0.9669265609999648,0.9784963951053555,0.9124553074999993
